tick,router_id,flit_in,flit_out,avg_wait,max_wait,buffer_occ,active_vcs,stalls,credits,crossbar,io_ratio,sw_in_arb,sw_out_arb,empty_vcs,total_wait,min_cred,max_cred,credit_sends
52500,10,92,0,559.03,4900.00,1,1,15,144,1960,0.0000,63,49,71,40250.00,1,4,54
53500,9,71,0,692.94,7550.00,1,1,19,142,2154,0.0000,70,67,71,49891.67,0,4,67
54500,8,35,0,606.67,6000.00,0,0,22,120,1012,0.0000,35,35,60,36400.00,1,4,35
55500,11,21,0,428.33,5100.00,1,1,16,120,402,0.0000,20,20,59,25700.00,1,4,20
55500,0,22,0,476.39,5100.00,0,0,16,96,423,0.0000,22,22,48,22866.67,1,4,22
55500,14,64,0,550.56,4100.00,1,1,27,120,2667,0.0000,63,63,59,33033.33,1,4,63
56500,7,39,0,559.76,6100.00,0,1,22,116,1067,0.0000,39,39,60,33585.71,0,4,39
56500,4,37,0,653.33,6600.00,0,0,17,120,729,0.0000,37,31,60,39200.00,1,4,31
56500,1,67,0,699.58,5850.00,0,1,21,117,2171,0.0000,66,58,60,41975.00,1,4,58
56500,13,65,0,838.89,8700.00,1,1,16,120,2398,0.0000,64,64,59,50333.33,1,4,64
56500,6,62,0,642.36,6000.00,2,2,19,144,1808,0.0000,57,55,70,46250.00,1,4,55
57500,2,60,0,679.17,4500.00,1,1,18,120,2112,0.0000,59,59,59,40750.00,1,4,59
58500,3,57,0,661.46,4000.00,0,0,16,96,2103,0.0000,57,57,48,31750.00,1,4,57
58500,12,23,0,504.17,7000.00,2,2,12,96,364,0.0000,21,21,46,24200.00,1,4,21
60000,5,89,0,682.87,5400.00,0,0,22,141,2944,0.0000,81,72,72,49166.67,0,4,72
65500,15,26,0,509.72,6100.00,1,1,15,96,489,0.0000,25,25,47,24466.67,1,4,25
102500,10,102,0,380.09,3500.00,1,1,4,143,5767,0.0000,93,79,71,27366.67,0,4,35
103500,9,70,0,590.97,5800.00,0,0,26,144,7454,0.0000,139,127,72,42550.00,1,4,60
104500,8,48,0,593.61,6200.00,2,2,18,118,2966,0.0000,81,78,58,35616.67,1,4,43
105500,14,56,0,565.28,4500.00,1,1,16,118,5250,0.0000,118,110,59,33916.67,1,4,47
106500,6,46,0,522.92,4100.00,0,0,25,144,5306,0.0000,105,103,72,37650.00,1,4,48
106500,13,51,0,606.63,5500.00,1,1,22,118,6662,0.0000,115,115,59,36398.04,1,4,51
106500,11,49,0,668.33,6100.00,2,2,15,120,1725,0.0000,60,55,58,40100.00,1,4,35
106500,4,38,0,589.44,5666.67,1,1,21,120,2734,0.0000,74,68,59,35366.67,1,4,37
106500,0,17,0,514.58,6000.00,1,1,11,96,809,0.0000,38,38,47,24700.00,1,4,16
107000,1,33,0,481.67,5000.00,0,0,21,119,3834,0.0000,99,90,60,28900.00,0,4,32
108500,12,36,0,401.74,4750.00,2,2,15,92,1898,0.0000,57,56,46,19283.33,0,4,35
108500,7,47,0,816.67,7500.00,1,1,19,120,3023,0.0000,77,76,59,49000.00,1,4,37
110500,5,52,0,543.06,4100.00,1,1,26,143,7300,0.0000,132,123,71,39100.00,0,4,51
110500,2,35,0,420.00,5000.00,1,1,22,120,4328,0.0000,94,94,59,25200.00,1,4,35
111500,3,33,0,625.00,7100.00,1,1,22,96,4029,0.0000,89,89,47,30000.00,1,4,32
115500,15,45,0,796.58,6100.00,1,1,19,94,2303,0.0000,70,62,47,38235.71,1,4,37
152500,10,325,0,492.71,5550.00,6,6,0,142,9407,0.0000,128,114,66,35475.00,1,4,55
153500,9,25,0,406.48,5100.00,1,1,15,144,5039,0.0000,163,150,71,29266.67,1,4,23
154500,8,29,0,682.78,6200.00,1,1,14,120,3618,0.0000,109,105,59,40966.67,1,4,27
156500,0,15,0,470.83,4000.00,1,1,11,96,1159,0.0000,53,53,47,22600.00,1,4,15
156500,6,78,0,694.52,5000.00,0,1,16,140,8846,0.0000,175,167,72,50005.56,0,4,64
157000,4,33,0,708.33,7200.00,0,0,17,119,4192,0.0000,108,102,60,42500.00,0,4,34
157500,1,34,0,481.67,3100.00,1,1,20,120,5481,0.0000,132,123,59,28900.00,1,4,33
158500,11,38,0,766.94,6300.00,1,1,14,120,3483,0.0000,99,94,59,46016.67,1,4,39
158500,7,49,0,641.67,5300.00,0,0,14,117,5859,0.0000,124,121,60,38500.00,0,4,45
159500,14,30,0,428.89,5500.00,1,1,21,120,6223,0.0000,148,140,59,25733.33,1,4,30
160500,13,24,0,410.00,4833.33,2,2,15,120,4593,0.0000,138,137,58,24600.00,1,4,22
161500,12,16,0,421.88,5750.00,1,1,14,96,1862,0.0000,73,72,47,20250.00,1,4,16
161500,5,43,0,439.58,4100.00,1,1,18,144,7901,0.0000,175,165,71,31650.00,1,4,42
163500,3,26,0,639.58,6100.00,2,2,15,96,3907,0.0000,114,114,46,30700.00,1,4,25
165500,15,31,0,750.00,7400.00,2,2,12,95,2918,0.0000,100,89,46,36000.00,1,4,27
168500,2,31,0,338.61,4000.00,1,1,14,120,4505,0.0000,125,123,59,20316.67,1,4,29
202500,10,463,0,505.56,4100.00,4,4,0,144,13544,0.0000,173,158,68,36400.00,1,4,49
204500,8,24,0,481.11,4600.00,1,1,11,118,3972,0.0000,133,129,59,28866.67,0,4,24
204500,9,35,0,474.31,6400.00,1,1,19,144,8566,0.0000,198,185,71,34150.00,1,4,35
206500,0,38,0,659.38,6000.00,0,0,21,93,4262,0.0000,92,92,48,31650.00,0,4,39
206500,6,17,0,338.89,5500.00,0,0,15,144,5425,0.0000,192,184,72,24400.00,1,4,17
207500,1,39,0,500.28,4000.00,2,2,12,117,6148,0.0000,170,160,58,30016.67,0,4,37
208500,11,36,0,527.50,4400.00,1,1,16,120,4805,0.0000,135,129,59,31650.00,1,4,35
208500,7,32,0,402.92,4300.00,1,1,16,120,5887,0.0000,155,152,59,24175.00,1,4,31
209500,14,31,0,440.00,4300.00,1,1,18,120,6648,0.0000,179,170,59,26400.00,1,4,30
210500,4,23,0,470.00,5600.00,1,1,16,120,4181,0.0000,130,124,59,28200.00,1,4,22
210500,13,35,0,477.50,3100.00,0,1,10,117,6435,0.0000,175,173,60,28650.00,1,4,36
211500,12,18,0,372.22,4500.00,0,0,10,96,2164,0.0000,92,91,48,17866.67,1,4,19
211500,5,36,0,524.54,5400.00,0,0,12,140,8439,0.0000,212,202,72,37766.67,0,4,37
215500,15,22,0,451.09,4785.71,0,1,13,93,3663,0.0000,124,113,48,21652.38,1,4,24
221500,2,41,0,618.33,5300.00,1,1,25,120,8944,0.0000,166,164,59,37100.00,1,4,41
228500,3,31,0,485.59,3375.00,1,1,15,96,5475,0.0000,146,144,47,23308.33,1,4,30
252500,10,400,0,467.59,5300.00,3,3,0,141,17245,0.0000,210,193,69,33666.67,0,4,40
254500,8,70,0,792.02,7200.00,2,2,19,119,9105,0.0000,190,178,58,47521.43,1,4,49
255500,9,50,0,621.76,4700.00,1,1,18,144,13309,0.0000,248,235,71,44766.67,1,4,50
256500,6,65,0,432.99,4000.00,0,2,17,138,13870,0.0000,257,248,72,31175.00,1,4,64
256500,0,24,0,431.25,4600.00,0,0,17,96,4073,0.0000,116,116,48,20700.00,1,4,24
257500,1,40,0,442.48,5000.00,0,1,21,117,10412,0.0000,212,201,60,26548.72,1,4,41
