probability,injection_rate,attacked,sent,received,PDR
0.5,0.02,10010,319942,309927,.9686
0.5,0.04,20165,639266,619091,.9684
0.5,0.06,29846,958897,929043,.9688
0.5,0.08,39943,1279101,1239147,.9687
0.5,0.10,50237,1598755,1548503,.9685
0.5,0.12,59827,1918567,1858711,.9688
0.5,0.14,70034,2238736,2168680,.9687
0.5,0.16,79984,2559483,2479475,.9687
0.5,0.18,90111,2878948,2788801,.9686
0.5,0.20,99814,3198385,3098523,.9687
0.5,0.22,109959,3518069,3408064,.9687
0.5,0.24,119842,3837717,3717808,.9687
0.5,0.26,129822,4157467,4027577,.9687
0.5,0.28,140390,4476658,4336184,.9686
0.5,0.30,150604,4796228,4645556,.9685
0.5,0.32,156840,5044820,4887853,.9688
0.5,0.34,160123,5244179,5083915,.9694
0.5,0.36,161849,5431331,5269341,.9701
0.5,0.38,162004,5610877,5448699,.9710
0.5,0.40,158373,5784627,5626108,.9725
