probability,injection_rate,attacked,sent,received,PDR
0.3,0.02,6919,319942,313018,.9783
0.3,0.04,13805,639266,625451,.9783
0.3,0.06,20596,958897,938293,.9785
0.3,0.08,27611,1279101,1251479,.9784
0.3,0.10,34661,1598755,1564079,.9783
0.3,0.12,41132,1918567,1877407,.9785
0.3,0.14,48379,2238736,2190335,.9783
0.3,0.16,55493,2559483,2503965,.9783
0.3,0.18,62464,2878948,2816448,.9782
0.3,0.20,69421,3198385,3128917,.9782
0.7,0.02,12493,319942,307444,.9609
0.7,0.04,24772,639266,614484,.9612
0.7,0.06,36869,958897,922020,.9615
0.7,0.08,49347,1279101,1229743,.9614
0.7,0.10,61625,1598755,1537117,.9614
0.7,0.12,73728,1918567,1844811,.9615
0.7,0.14,86273,2238736,2152441,.9614
0.7,0.16,98647,2559483,2460812,.9614
0.7,0.18,111177,2878948,2767737,.9613
0.7,0.20,123309,3198385,3075029,.9614
0.9,0.02,14311,319942,305626,.9552
0.9,0.04,28460,639266,610796,.9554
0.9,0.06,42403,958897,916486,.9557
0.9,0.08,56875,1279101,1222215,.9555
0.9,0.10,71058,1598755,1527683,.9555
0.9,0.12,84919,1918567,1833619,.9557
0.9,0.14,99433,2238736,2139281,.9555
0.9,0.16,113686,2559483,2445771,.9555
0.9,0.18,127964,2878948,2750949,.9555
0.9,0.20,141946,3198385,3056392,.9556
