probability,injection_rate,attacked,print_received,sent,got,PDR
0.3,0.02,243,2978,3223,2978,.9239
0.3,0.04,528,5783,6318,5783,.9153
0.3,0.06,791,8730,9532,8730,.9158
0.3,0.08,1126,11600,12738,11600,.9106
0.3,0.10,1297,14658,15973,14658,.9176
0.3,0.12,1671,17458,19155,17458,.9114
0.3,0.14,1961,20263,22258,20263,.9103
0.3,0.16,2205,23260,25491,23260,.9124
0.3,0.18,2479,26187,28717,26187,.9118
0.3,0.20,2745,29166,31959,29166,.9126
0.7,0.02,596,2626,3223,2626,.8147
0.7,0.04,1205,5107,6318,5107,.8083
0.7,0.06,1848,7674,9532,7674,.8050
0.7,0.08,2577,10150,12738,10150,.7968
0.7,0.10,3065,12892,15973,12892,.8071
0.7,0.12,3835,15294,19155,15294,.7984
0.7,0.14,4439,17788,22258,17788,.7991
0.7,0.16,5038,20429,25491,20429,.8014
0.7,0.18,5755,22913,28717,22913,.7978
0.7,0.20,6307,25611,31959,25611,.8013
0.9,0.02,770,2452,3223,2452,.7607
0.9,0.04,1556,4756,6318,4756,.7527
0.9,0.06,2365,7157,9532,7157,.7508
0.9,0.08,3240,9487,12738,9487,.7447
0.9,0.10,3951,12007,15973,12007,.7517
0.9,0.12,4917,14212,19155,14212,.7419
0.9,0.14,5678,16551,22258,16551,.7435
0.9,0.16,6403,19064,25491,19064,.7478
0.9,0.18,7341,21328,28717,21328,.7426
0.9,0.20,8129,23790,31959,23790,.7443
